t,P_two
0,100.0
1,97.50272863653308
2,106.24774116068707
3,107.56482746659752
4,113.81319527515215
5,117.73173001778889
6,113.41014185892993
7,117.08999743551583
8,114.94031432209994
9,112.7512922233806
10,113.411058317153
11,103.04999085688932
12,111.14479870373958
13,106.58809980930738
14,113.37992916879512
15,114.30554959975778
16,124.70805421043731
17,120.22686189079084
18,118.1097748153601
19,120.40322718469453
20,105.41449842791786
21,111.03608501610168
22,121.50375539605098
23,129.1547735223205
24,134.27965940720068
25,133.28846951294832
26,141.99258563468376
27,149.28525355787326
28,151.95114909255292
29,151.98587527666172
30,149.52947821468905
31,141.17620160730894
32,149.50229850556457
33,134.7541205149722
34,132.24082003663497
35,133.35696070972597
36,139.19555395324645
37,151.15723374916163
38,157.90190218787444
39,155.92247170466604
40,160.8664578227333
41,152.30019167084856
42,162.0094742670649
43,160.94700681147322
44,156.37218218306108
45,152.03296410112642
46,151.6163206865841
47,148.94931106233417
48,164.49779960460017
49,159.62134961049094
50,159.84275618652677
51,160.03321497755326
52,160.22518269095607
53,160.60098109361496
54,157.3311692865052
55,153.36983235835385
56,147.51576254928983
57,137.41105692531153
58,138.87978032212308
59,145.5636957433481
60,141.87615442587236
61,138.08315831076507
62,135.9342398996643
63,132.80649605665215
64,123.05422446077279
65,132.32330799830348
66,135.30411723481868
67,130.47170800014405
68,132.48950426099964
69,129.5123793799388
70,128.07536120732473
71,130.54667562374692
72,137.017304524254
73,147.33487336180227
74,158.90441852016625
75,157.21466789671015
76,153.82137496291364
77,154.49764200096413
78,155.36909241240178
79,150.38372576270118
80,146.17069855558714
81,151.6928271172447
82,162.84065600054444
83,161.30271524004985
84,156.9030314573915
85,154.97894096441325
86,148.22199903021667
87,146.36919971334726
88,149.2375954339133
89,148.68527672472158
90,157.0680586087699
91,158.09258834754664
92,161.35938993814602
93,160.34932629308557
94,169.2826964406304
95,160.98296980164776
96,158.9215846010092
97,150.9522384931407
98,156.56263560575005
99,162.33632395229037
100,158.8342619957303
101,170.09285142701097
102,168.07443840262044
103,158.681307758171
104,156.77192917033335
105,159.21646843283327
106,157.62494665147847
107,173.00783152457683
108,178.81590688337263
109,190.57129427230063
110,199.98145643088813
111,188.53497846476427
112,185.9699975255079
113,167.44357971164126
114,163.054545874833
115,170.62610377160442
116,164.9007004301757
117,160.57758593638536
118,162.79203693388936
119,168.13791597697175
120,165.7185480987151
121,163.98158342747652
122,169.47456918746946
123,171.1996276576972
124,169.26253048183378
125,171.39800919424448
126,173.28073471977675
127,176.39055608264687
128,191.3845615998638
129,190.83733192416824
130,188.69311340421234
131,199.79535063256287
132,196.59580046014256
133,209.84051017688236
134,210.19411354925668
135,212.3705081974588
136,219.0442121058839
137,229.02677716455764
138,237.62149870016884
139,238.13240615069748
140,237.54201726130194
141,241.7943146578974
142,244.6359015918847
143,242.22435606366906
144,246.9434710996174
145,255.66142107380037
146,258.82935217584605
147,271.51150588339647
148,276.46111629441145
149,277.60624812154356
150,280.4989348138329
151,278.9310680526755
152,274.1513398495515
153,279.5716640737512
154,276.0059842893533
155,275.7726569801104
156,277.36460442695653
157,282.18976371515885
158,287.5698069555606
159,290.2296114055158
160,279.4288548512821
161,280.2528422632402
162,277.2202478100674
163,278.67334950779576
164,287.6251854091161
165,295.38201024861144
166,299.2319343437127
167,305.05060475802753
168,297.3752431014811
169,174.6038848118273
170,178.84431300089074
171,174.04970872836145
172,176.79957454532436
173,174.213764298936
174,181.00720514064815
175,188.53336869800842
176,184.9021914920771
177,194.8354358723707
178,193.5447906573332
179,207.54539420728804
180,204.20774108836048
181,204.64064646069582
182,206.088202610618
183,200.99029744560812
184,189.2749704486476
185,183.8456596504694
186,191.17618214596146
187,188.9445358808546
188,186.72619801955764
189,197.02528294393255
190,200.3764045529203
191,205.14507830790515
192,210.91283470514168
193,204.7514666945003
194,205.59835753268345
195,206.6183302256726
196,205.53962592299183
197,198.1179399355391
198,201.26700447338834
199,190.00604185922012
200,183.64335852363698
201,178.14795252094862
202,175.3495783615112
203,181.06059709019652
204,192.30945722180977
205,204.00384247559566
206,209.47834365538287
207,212.46386501740741
208,196.59869821166728
209,204.27221060801764
210,222.12275779709978
211,225.19778877485192
212,226.78691572209294
213,231.53106038642173
214,236.47844848178164
215,237.394530395394
216,234.85632066493525
217,237.31266569858985
218,227.99821696577723
219,215.21654073680227
220,224.4573141073013
221,221.3470776743212
222,226.2084153593553
223,236.7641085477183
224,245.0498121215553
225,241.2922756297688
226,243.49735549014562
227,235.579624909575
228,234.86957355095134
229,241.9720286482979
230,242.1894868203604
231,222.82868928879597
232,207.5426107549717
233,202.099844730804
234,211.15255559744344
235,212.50434452074262
236,213.4635890327856
237,204.52817185634368
238,205.52244276981307
239,190.07402277280733
240,192.39506329732504
241,200.40210542061573
242,194.85068747028794
243,202.21373683784012
244,197.32564719606546
245,198.3263217706516
246,197.4033152900618
247,198.04067576097148
248,208.40869162253188
249,214.3921480456512
250,209.79041941953096
251,191.01632590257483
252,197.0920408373631
253,202.27898652866676
254,203.40280980184872
255,199.61269448050334
256,210.46588370950985
257,198.33071514538165
258,193.00478620343205
259,183.0483017081954
260,185.56947687182577
261,182.4016531718794
262,196.73663585009376
263,196.85754152562708
264,195.23604196444404
265,199.1246776848161
266,194.15306133833462
267,186.7933175458351
268,190.42600810531636
269,187.10557320591778
270,193.73244036142597
271,196.00559628851948
272,196.79609508235578
273,197.26087307299366
274,196.6748260235806
275,199.44194469164174
276,196.74478026189087
277,183.4519653462443
278,183.980227998973
279,180.85277347984373
280,171.50348267383544
281,176.80433354214108
282,174.22246367129995
283,162.37232142653812
284,161.86466384509967
285,157.2830045031831
286,145.72949880007
287,147.849246173996
288,140.7159499473437
289,145.59368767540636
290,139.49973437175967
291,146.13387936489104
292,149.02250488444426
293,149.75996608163865
294,144.62784380805888
295,150.77150800880577
296,154.19065002789273
297,151.72995905355398
298,155.67248632392744
299,148.70878366774824
300,140.01917351811426
301,139.37027721292463
302,139.85316011942933
303,142.75864588333332
304,143.20031379788077
305,151.62475825601692
306,142.8622384652412
307,146.7211738003634
308,148.25329001796126
309,157.4619624521369
310,158.31014161645598
311,160.45784425863167
312,172.4169622947077
313,177.82377789203974
314,181.9558713026855
315,180.75686297437315
316,183.14077412857586
317,173.38032913671725
318,169.03309118174053
319,174.773190581268
320,164.08539293625432
321,166.02371613595042
322,167.46784400228796
323,171.44436598176563
324,161.2927348230438
325,148.78852084057536
326,157.5081342711617
327,159.51509451784875
328,163.57126127569703
329,175.85167887701056
330,178.43339073338325
331,166.5187448276067
332,165.72664277318415
333,172.60407023829424
334,171.09100231076783
335,170.39791614004676
336,167.67123176237294
337,178.9742687772319
338,188.84252620187317
339,178.05884255613378
340,192.40789058402896
341,188.68515753498542
342,203.9564474847944
343,196.66015020509533
344,205.70730118151607
345,203.50051082531354
346,204.0648485921405
347,211.68913938422673
348,208.35381086867415
349,212.1551430274885
350,215.93347669735508
351,225.74293436370883
352,236.82146860588736
353,251.4671923982192
354,255.5343978379982
355,260.3459563851119
356,258.55988535772724
357,255.4132060677408
358,248.4778347454361
359,248.92147492111783
360,251.96708750783282
361,254.11227188946248
362,260.03013459590426
363,252.8937286008279
364,266.67340568496365
365,270.8837811238756
366,280.4652907474339
367,285.0445325943592
368,281.3644997296615
369,281.3940513093095
370,261.24113320430297
371,264.775001208322
372,266.41438921202166
373,276.7737980824944
374,267.0564218485185
375,268.6509846350846
376,268.7181309636799
377,262.2824870568806
378,254.40379690053723
379,248.44943828767356
380,257.10991455665214
381,265.84896145642807
382,258.1902625170251
383,259.11565698956207
384,264.3948395110712
385,268.7130168628069
386,260.54391379513015
387,258.534803688081
388,250.84640737307677
389,259.74681862003104
390,279.43885179318187
391,281.32705927891436
392,268.999754026154
393,276.7014392138585
394,289.47737310503686
395,301.8243855067684
396,305.34751386320863
397,311.37825495606495
398,314.50366441163146
399,321.9024994465832
400,330.85992428769623
401,328.3797355785894
402,327.0141854531139
403,327.3002062162157
404,328.3447080676975
405,332.2631184055351
406,342.5065987131127
407,336.3644026794314
408,345.28152648495205
409,346.69534877533596
410,329.9971856108351
411,329.91967625928373
412,330.6958876070759
413,337.0535300965823
414,343.7425979156733
415,346.43863993120766
416,175.2267875459651
417,181.69607650574028
418,177.09836136011427
419,169.02880379789386
